"","Date","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RISK_MM","RainTomorrow","Year","Month"
"11",2008-02-11,"Sydney",16.4,23.9,0,NA,NA,NA,NA,"WNW","E",9,26,78,53,1017.6,1015.3,7,8,18.9,23.7,"No",0,"No",2008,2
"12",2008-02-12,"Sydney",18.9,27.3,0,NA,NA,NA,NA,"N","NE",7,24,68,67,1010.7,1007.5,7,7,22.9,24.7,"No",14.4,"Yes",2008,2
"13",2008-02-13,"Sydney",18.4,22.8,14.4,NA,NA,NA,NA,"S","S",24,30,87,70,1009.2,1011.7,8,7,20.9,21,"Yes",3,"Yes",2008,2
"14",2008-02-14,"Sydney",16.9,24.3,3,NA,NA,NA,NA,"SSW","SSE",15,19,81,51,1017.2,1016.5,7,1,18.4,23.3,"Yes",0,"No",2008,2
"15",2008-02-15,"Sydney",18.3,24.4,0,NA,NA,NA,NA,"SW","SSE",19,22,80,56,1020.2,1018.9,7,3,19.5,23.8,"No",0,"No",2008,2
"16",2008-02-16,"Sydney",16.7,24.1,0,NA,NA,NA,NA,"WNW","SSE",11,26,77,52,1023,1022.6,7,6,19.8,23.3,"No",0,"No",2008,2
"17",2008-02-17,"Sydney",19.5,24.8,0,NA,NA,NA,NA,"SE","ESE",13,24,63,62,1024.7,1023.1,7,7,21.8,23.4,"No",0,"No",2008,2
"18",2008-02-18,"Sydney",18.6,25.3,0,NA,NA,NA,NA,"SSE","ENE",13,24,70,59,1021.7,1019.4,7,6,21.2,23.8,"No",0,"No",2008,2
"19",2008-02-19,"Sydney",19,24.8,0,NA,NA,NA,NA,"WNW","E",7,17,79,65,1018,1015.4,7,7,20.8,23.4,"No",0,"No",2008,2
"20",2008-02-20,"Sydney",18.3,26.4,0,NA,NA,NA,NA,"W","E",13,22,80,60,1013.4,1010.8,3,1,21.3,25.2,"No",0,"No",2008,2
"21",2008-02-21,"Sydney",20.6,26.8,0,NA,NA,NA,NA,"WNW","SE",4,15,86,62,1011.4,1009.7,7,7,22.1,24.9,"No",0.4,"No",2008,2
"22",2008-02-22,"Sydney",19.1,25.4,0.4,NA,NA,NA,NA,"WNW","E",11,28,77,66,1009.2,1003.1,4,1,22.3,24.9,"No",0,"No",2008,2
"23",2008-02-23,"Sydney",20.5,26,0,NA,NA,NA,NA,"WSW","ESE",20,24,38,45,1007.4,1007,1,1,22.5,24,"No",0,"No",2008,2
"24",2008-02-24,"Sydney",16.5,28.3,0,NA,NA,NA,NA,"WNW","ESE",11,24,48,40,1007.9,1008,0,0,21.2,26.1,"No",0,"No",2008,2
"25",2008-02-25,"Sydney",20.5,24.2,0,NA,NA,NA,NA,"E","E",15,20,58,54,1017.5,1016.9,7,7,21.6,23.5,"No",0,"No",2008,2
"26",2008-02-26,"Sydney",19.3,26.2,0,NA,NA,NA,NA,"WSW","E",2,28,73,65,1018.3,1015.6,1,6,23,25.8,"No",22.2,"Yes",2008,2
"27",2008-02-27,"Sydney",19,29,22.2,NA,NA,NA,NA,NA,"NNE",0,15,82,52,1014.1,1010.6,7,7,21.3,24.7,"Yes",4.2,"Yes",2008,2
"28",2008-02-28,"Sydney",17.9,21.4,4.2,NA,FALSE,NA,NA,"S","ESE",20,9,77,88,1010,1010.1,8,8,20.4,19.2,"Yes",33,"Yes",2008,2
"29",2008-02-29,"Sydney",14.7,20.6,33,NA,NA,NA,NA,"SW","S",24,28,65,51,1015.3,1015.6,5,3,17.1,19.9,"Yes",0.2,"No",2008,2
"30",2008-03-01,"Sydney",12.8,22,0.2,NA,NA,NA,NA,"W","SSE",19,31,55,46,1020.9,1020.6,0,1,15.9,21.2,"No",5.4,"Yes",2008,3
"31",2008-03-02,"Sydney",14.2,23.4,5.4,NA,NA,NA,NA,"W","SE",13,17,93,54,1026.2,1025.2,7,2,15.1,22.4,"Yes",0.2,"No",2008,3
"32",2008-03-03,"Sydney",15,23.1,0.2,NA,NA,NA,NA,"W","ENE",15,19,78,57,1025.8,1022.5,1,1,18.2,22.5,"No",0,"No",2008,3
"33",2008-03-04,"Sydney",15.5,25.4,0,NA,NA,NA,NA,"WNW","E",9,19,77,57,1020.5,1018.6,0,2,18.7,23.8,"No",0,"No",2008,3
"34",2008-03-05,"Sydney",18.7,25.8,0,NA,NA,NA,NA,"S","ESE",19,22,72,64,1024.8,1024.2,6,3,22.6,24.1,"No",0,"No",2008,3
"35",2008-03-06,"Sydney",19.6,26,0,NA,NA,NA,NA,"N","ENE",11,19,67,65,1024.2,1019.8,1,1,22.1,24.7,"No",0,"No",2008,3
"36",2008-03-07,"Sydney",19.9,24.9,0,NA,NA,NA,NA,"SSW","SSE",13,24,83,75,1021.3,1020.7,5,7,22.9,23.3,"No",17.4,"Yes",2008,3
"37",2008-03-08,"Sydney",16.5,24.8,17.4,NA,NA,NA,NA,"WNW","E",9,22,88,71,1023.4,1022.3,1,2,18.8,21.5,"Yes",0,"No",2008,3
"38",2008-03-09,"Sydney",16.4,24.3,0,NA,NA,NA,NA,"W","E",9,19,82,64,1025.5,1025.2,1,2,19.7,23.8,"No",0,"No",2008,3
"39",2008-03-10,"Sydney",19.3,26.3,0,NA,NA,NA,NA,"WNW","NE",9,24,76,50,1025.1,1022.5,1,0,22.9,25.5,"No",0,"No",2008,3
"40",2008-03-11,"Sydney",18.6,26.1,0,NA,NA,NA,NA,"ENE","E",2,20,72,58,1022,1021.4,0,0,21.9,26,"No",0,"No",2008,3
"41",2008-03-12,"Sydney",19.3,26.4,0,NA,NA,NA,NA,"W","NE",7,22,77,60,1021.9,1018.8,1,1,22.2,25,"No",0,"No",2008,3
"42",2008-03-13,"Sydney",19.2,26.1,0,NA,NA,NA,NA,"WNW","ESE",6,20,84,69,1019.7,1019,1,4,22.4,25.3,"No",0,"No",2008,3
"43",2008-03-14,"Sydney",18.8,26,0,NA,NA,NA,NA,"W","ENE",9,24,84,62,1022.8,1020,3,1,21.8,25.7,"No",0,"No",2008,3
"44",2008-03-15,"Sydney",19.3,26.1,0,NA,NA,NA,NA,"NW","ENE",2,20,80,64,1022.1,1020.9,1,1,22.5,25.6,"No",0,"No",2008,3
"45",2008-03-16,"Sydney",19.7,25.8,0,NA,NA,NA,NA,"W","E",7,24,81,69,1024.6,1022.6,2,2,22.8,24.7,"No",0,"No",2008,3
"46",2008-03-17,"Sydney",19.5,25.7,0,NA,NA,NA,NA,"WNW",NA,4,NA,82,60,1024.8,1022.8,4,1,22,25.4,"No",0,"No",2008,3
"47",2008-03-18,"Sydney",19,26.7,0,NA,NA,NA,NA,"N","ENE",11,20,73,58,1023.3,1020,0,2,22.2,25.6,"No",0,"No",2008,3
"48",2008-03-19,"Sydney",19.9,26.9,0,NA,NA,NA,NA,"SSE","E",7,13,70,60,1021.2,1019.4,5,7,23.9,24.9,"No",0,"No",2008,3
"49",2008-03-20,"Sydney",19.7,28.1,0,NA,NA,NA,NA,"NNE","NE",6,17,70,58,1014.3,1009.6,2,2,23.5,27.6,"No",1,"No",2008,3
"50",2008-03-21,"Sydney",17.7,19.6,1,NA,FALSE,NA,NA,"S","SSW",26,22,87,80,1017.3,1018.9,8,8,17.8,18.4,"No",2.2,"Yes",2008,3
"51",2008-03-22,"Sydney",16.9,23.2,2.2,NA,NA,NA,NA,"ESE","E",24,30,81,60,1022.8,1022.2,7,7,19.6,21.7,"Yes",0.4,"No",2008,3
"52",2008-03-23,"Sydney",16.3,24.8,0.4,NA,NA,NA,NA,"WNW","ESE",9,13,82,57,1023.1,1020.6,5,6,18.5,24.8,"No",17,"Yes",2008,3
"53",2008-03-24,"Sydney",18.5,24.3,17,NA,NA,NA,NA,"NNW","ENE",7,26,95,72,1018.7,1015.3,6,2,19.9,23.3,"Yes",0.4,"No",2008,3
"54",2008-03-25,"Sydney",19.8,27.5,0.4,NA,NA,NA,NA,"NE","NNW",4,17,81,58,1011.1,1006.9,5,7,21.4,27,"No",19,"Yes",2008,3
"55",2008-03-26,"Sydney",17,27.2,19,NA,NA,NA,NA,NA,"NW",0,6,76,38,1008.9,1007.9,1,5,20.5,27.1,"Yes",0,"No",2008,3
"56",2008-03-27,"Sydney",15,23.6,0,NA,NA,NA,NA,"W","ESE",20,19,52,42,1014.7,1013.4,1,1,17.5,21.8,"No",0,"No",2008,3
"57",2008-03-28,"Sydney",15.2,21.7,0,NA,NA,NA,NA,"SSW","SE",13,17,71,51,1017.1,1016.2,4,3,18.3,21.2,"No",0.2,"No",2008,3
"58",2008-03-29,"Sydney",14.4,22.9,0.2,NA,NA,NA,NA,"W","E",15,15,85,65,1015.4,1011.2,3,2,16.7,21.7,"No",0,"No",2008,3
"59",2008-03-30,"Sydney",13.1,26.8,0,NA,NA,NA,NA,"W","WNW",22,15,61,22,1013,1009,0,1,16.9,25.9,"No",0,"No",2008,3
"60",2008-03-31,"Sydney",13.5,25.6,0,NA,NA,NA,NA,"WNW","WNW",9,17,57,31,1015,1012.5,4,1,16.3,24.9,"No",0,"No",2008,3
"61",2008-04-01,"Sydney",13.7,23.9,0,NA,NA,NA,NA,"W","ESE",20,15,55,54,1023,1021.5,1,1,16.7,23.3,"No",0,"No",2008,4
"62",2008-04-02,"Sydney",14.1,28.7,0,NA,NA,NA,NA,"W","N",6,22,75,34,1019,1012.4,1,7,17.8,28,"No",0,"No",2008,4
"63",2008-04-03,"Sydney",16.4,22.2,0,NA,NA,NA,NA,"SW","WSW",26,20,42,21,1009.9,1010.8,6,1,16.6,21.2,"No",0,"No",2008,4
"64",2008-04-04,"Sydney",11.2,22.2,0,NA,NA,NA,NA,"W","E",24,15,47,37,1020.8,1019.2,1,0,13.9,21,"No",0,"No",2008,4
"65",2008-04-05,"Sydney",11.6,22.7,0,NA,NA,NA,NA,"WNW","E",13,17,71,50,1024.5,1023.4,0,1,15.2,21,"No",0,"No",2008,4
"66",2008-04-06,"Sydney",13.1,22.7,0,NA,NA,NA,NA,"W","ESE",13,20,71,55,1027.2,1024.6,5,6,17.7,22.1,"No",12,"Yes",2008,4
"67",2008-04-07,"Sydney",15.3,22,12,NA,NA,NA,NA,"SSW","SSE",11,15,83,70,1026.3,1024.2,5,6,18.2,19.8,"Yes",9.6,"Yes",2008,4
"68",2008-04-08,"Sydney",14.6,22.1,9.6,NA,NA,NA,NA,"SE","SE",20,17,86,75,1026.5,1024.1,6,6,17,18.9,"Yes",22.8,"Yes",2008,4
"69",2008-04-09,"Sydney",15.6,22.2,22.8,NA,NA,NA,NA,"W","E",13,20,96,62,1024.6,1021.4,7,5,16.3,21.1,"Yes",2.2,"Yes",2008,4
"70",2008-04-10,"Sydney",13.8,22.7,2.2,NA,NA,NA,NA,"W","E",15,15,77,60,1022.1,1019.7,5,1,18.7,21.9,"Yes",0,"No",2008,4
"71",2008-04-11,"Sydney",14.1,23.5,0,NA,NA,NA,NA,"W","E",15,15,83,61,1020.1,1017.5,4,2,17.1,22.1,"No",0,"No",2008,4
"72",2008-04-12,"Sydney",14,23.8,0,NA,NA,NA,NA,"W","E",11,9,79,59,1018.6,1016,7,4,17.6,22.2,"No",0,"No",2008,4
"73",2008-04-13,"Sydney",15.1,22.7,0,NA,NA,NA,NA,"W","ESE",11,4,81,75,1016.4,1013.4,5,6,17.4,19.7,"No",11,"Yes",2008,4
"74",2008-04-14,"Sydney",13.2,18.9,11,NA,NA,NA,NA,"SSW","S",19,30,82,64,1019.6,1019.2,7,3,15.9,18.8,"Yes",2.8,"Yes",2008,4
"75",2008-04-15,"Sydney",13.8,19.7,2.8,NA,NA,NA,NA,"SW","S",20,22,85,71,1025.4,1023.9,7,7,15.9,19,"Yes",1.4,"Yes",2008,4
"76",2008-04-16,"Sydney",13.8,20.9,1.4,NA,NA,NA,NA,"SSW","SSW",15,20,78,85,1026.4,1024.6,7,8,17.2,16.2,"Yes",4.6,"Yes",2008,4
"77",2008-04-17,"Sydney",14.9,19.7,4.6,NA,NA,NA,NA,"SSW","S",17,13,91,72,1025.1,1023.4,7,7,16.4,19.4,"Yes",6.4,"Yes",2008,4
"78",2008-04-18,"Sydney",15.3,20,6.4,NA,NA,NA,NA,"W","SSE",4,15,94,75,1025.4,1023.7,8,7,16.4,19.6,"Yes",5,"Yes",2008,4
"79",2008-04-19,"Sydney",15.9,21.4,5,NA,NA,NA,NA,"SE","SE",22,24,51,61,1027.2,1026.1,6,7,19.3,19.5,"Yes",2.8,"Yes",2008,4
"80",2008-04-20,"Sydney",15.2,19.1,2.8,NA,NA,NA,NA,"ESE","S",15,6,79,75,1026.6,1023.7,7,6,17.3,18.4,"Yes",21.8,"Yes",2008,4
"81",2008-04-21,"Sydney",14.7,19.3,21.8,NA,NA,NA,NA,"SSW","S",9,19,91,70,1023.2,1021.4,8,7,16.6,19,"Yes",10.2,"Yes",2008,4
"82",2008-04-22,"Sydney",14.4,20.3,10.2,NA,NA,NA,NA,"SSE","SE",9,20,90,55,1023.6,1022.3,7,5,16.1,20.1,"Yes",12.6,"Yes",2008,4
"83",2008-04-23,"Sydney",14.7,17.9,12.6,NA,NA,NA,NA,"SW","SSE",6,22,90,89,1024,1022.1,7,7,16.2,17.2,"Yes",15.6,"Yes",2008,4
"84",2008-04-24,"Sydney",14.7,20,15.6,NA,NA,NA,NA,"S","S",19,20,93,80,1021.3,1018.6,7,7,16.8,19.3,"Yes",5.4,"Yes",2008,4
"85",2008-04-25,"Sydney",16.8,21.2,5.4,NA,NA,NA,NA,"SSE","S",17,15,55,69,NA,1013.9,7,7,19.7,20.3,"Yes",0.4,"No",2008,4
"86",2008-04-26,"Sydney",12.7,24.8,0.4,NA,NA,NA,NA,"W","E",15,6,81,38,1011.2,1007,2,7,15.6,24.6,"No",0,"No",2008,4
"87",2008-04-27,"Sydney",15.6,26.1,0,NA,NA,NA,NA,"NNW","N",20,22,51,28,1005.2,999.1,6,2,20.3,25.7,"No",0,"No",2008,4
"88",2008-04-28,"Sydney",11.9,16.8,0,NA,NA,NA,NA,"W","WSW",20,24,46,33,1007.4,1008.6,2,6,13.7,15.6,"No",0,"No",2008,4
"89",2008-04-29,"Sydney",8.6,18.4,0,NA,NA,NA,NA,"W","SSE",24,9,54,41,1020.4,1019.8,1,1,11.7,17.8,"No",0,"No",2008,4
"90",2008-04-30,"Sydney",8.4,19.6,0,NA,NA,NA,NA,"W","E",15,17,68,50,1024.2,1021.3,1,3,11.6,18.1,"No",0,"No",2008,4
"91",2008-05-01,"Sydney",11.6,18.2,0,NA,NA,NA,NA,"WNW","W",11,7,74,56,1019.7,1016.7,7,7,13.4,18.1,"No",0,"No",2008,5
"92",2008-05-02,"Sydney",10.8,22.2,0,NA,NA,NA,NA,"W","WSW",19,17,65,44,1018.7,1015.3,1,3,14.5,21.7,"No",0,"No",2008,5
"93",2008-05-03,"Sydney",10.9,19.6,0,NA,NA,NA,NA,"W","SSE",19,11,62,52,1019.3,1016.9,1,1,14.1,18.6,"No",0,"No",2008,5
"94",2008-05-04,"Sydney",9.4,20.3,0,NA,NA,NA,NA,"W","SE",22,11,64,47,1021.1,1018.3,1,1,12.4,19.4,"No",0,"No",2008,5
"95",2008-05-05,"Sydney",9.4,22.3,0,NA,NA,NA,NA,"W","NW",15,7,71,34,1018.7,1015.2,1,2,12.4,22.2,"No",0,"No",2008,5
"96",2008-05-06,"Sydney",11.8,23.6,0,NA,NA,NA,NA,"W","WNW",9,9,74,48,1017.1,1013.3,6,7,13.7,21.1,"No",0,"No",2008,5
"97",2008-05-07,"Sydney",13,23,0,NA,NA,NA,NA,"W","SSE",22,13,57,44,1014.3,1011.8,1,3,16.5,22,"No",0,"No",2008,5
"98",2008-05-08,"Sydney",11,21.8,0,NA,NA,NA,NA,"W","S",24,15,63,45,1019.2,1017.5,1,1,14,20.8,"No",0,"No",2008,5
"99",2008-05-09,"Sydney",11,21.9,0,NA,NA,NA,NA,"W","SE",17,11,75,60,1021.4,1020.2,0,1,14.3,20.6,"No",0,"No",2008,5
"100",2008-05-10,"Sydney",12.6,21.3,0,NA,NA,NA,NA,"WNW","E",11,11,86,67,1022.2,1019.6,1,1,15.2,19.3,"No",0,"No",2008,5
"101",2008-05-11,"Sydney",14,19.4,0,NA,NA,NA,NA,"WNW","SSE",13,15,84,67,1023.1,1021.2,7,7,16.8,18.7,"No",0,"No",2008,5
"102",2008-05-12,"Sydney",12.4,19.5,0,NA,NA,NA,NA,"W","E",11,15,88,63,1023.5,1020.5,1,1,14.9,19.2,"No",0,"No",2008,5
"103",2008-05-13,"Sydney",13.2,19.7,0,NA,NA,NA,NA,"W","E",11,9,88,67,1023.4,1021.7,6,7,15,18.1,"No",0,"No",2008,5
"104",2008-05-14,"Sydney",11.2,20.6,0,NA,NA,NA,NA,"W","ENE",20,19,82,64,1023.8,1020.5,1,1,13.8,20,"No",0.2,"No",2008,5
"105",2008-05-15,"Sydney",12,21.4,0.2,NA,NA,NA,NA,"W","E",13,9,90,60,1022.2,1017.8,1,1,13.9,21.3,"No",1.2,"Yes",2008,5
"106",2008-05-16,"Sydney",13.8,23.2,1.2,NA,NA,NA,NA,"WNW","NE",15,15,78,66,1017.1,1013,6,2,15.9,20.9,"Yes",0,"No",2008,5
"107",2008-05-17,"Sydney",15.2,21.8,0,NA,NA,NA,NA,"NNW","NNW",20,17,52,41,1008.4,1003.6,3,7,19.2,20.9,"No",0,"No",2008,5
"108",2008-05-18,"Sydney",8.8,17.8,0,NA,NA,NA,NA,"W","W",19,31,57,36,1007,1006.3,1,1,11.6,17,"No",0,"No",2008,5
"109",2008-05-19,"Sydney",10.7,20.5,0,NA,NA,NA,NA,"W","WNW",22,7,58,36,1015.7,1013.3,1,0,12.5,20.3,"No",0,"No",2008,5
"110",2008-05-20,"Sydney",10.3,21.7,0,NA,NA,NA,NA,"W","W",24,7,64,38,1020.1,1017.5,1,1,13,21.3,"No",0,"No",2008,5
"111",2008-05-21,"Sydney",11.1,18.9,0,NA,NA,NA,NA,"WNW","S",19,22,74,64,1022.4,1022.8,4,7,13.5,17.3,"No",0,"No",2008,5
"112",2008-05-22,"Sydney",11.9,18.7,0,NA,NA,NA,NA,"SSW","SSE",20,19,63,52,1028.2,1026.2,1,2,15.1,17.4,"No",0,"No",2008,5
"113",2008-05-23,"Sydney",11,18.4,0,NA,NA,NA,NA,"WNW","SSE",17,13,76,53,1026.9,1024.6,1,5,12.7,17.1,"No",0,"No",2008,5
"114",2008-05-24,"Sydney",11.4,20.1,0,NA,NA,NA,NA,"W","NW",13,2,71,39,1025.4,1022.7,1,1,13.3,19.3,"No",0,"No",2008,5
"115",2008-05-25,"Sydney",8.8,18.3,0,NA,NA,NA,NA,"W","ENE",17,11,78,58,1025.1,1022.2,4,3,11.1,16.9,"No",0.4,"No",2008,5
"116",2008-05-26,"Sydney",10.9,21.1,0.4,NA,NA,NA,NA,"W","ENE",20,13,81,58,1025.9,1022.6,6,2,12.9,19.5,"No",0,"No",2008,5
"117",2008-05-27,"Sydney",11.5,22.4,0,NA,NA,NA,NA,"W","E",15,13,82,71,1024.6,1021.8,3,1,13.6,19.1,"No",0,"No",2008,5
"118",2008-05-28,"Sydney",11,19.2,0,NA,NA,NA,NA,"W","NE",26,2,80,74,1025.6,1023.9,3,6,12.8,18.6,"No",1,"No",2008,5
"119",2008-05-29,"Sydney",11,18.6,1,TRUE,NA,NA,NA,"W","S",19,4,86,76,1030.2,1029.1,3,2,12.7,17.6,"No",0.2,"No",2008,5
"120",2008-05-30,"Sydney",10.9,21,0.2,NA,NA,NA,NA,"W","E",19,7,87,58,1032,1028.7,1,2,12.7,19.6,"No",0,"No",2008,5
"121",2008-05-31,"Sydney",10.8,20.1,0,TRUE,NA,NA,NA,"WNW","SSE",17,17,90,61,1028.6,1026.66,1,1,11.7,19.4,"No",0.2,"No",2008,5
"122",2008-06-01,"Sydney",11.6,20.5,0.2,NA,NA,NA,NA,"W","SE",19,17,91,74,1029.3,1027,7,7,14.3,18.7,"No",22,"Yes",2008,6
"123",2008-06-02,"Sydney",14.3,17.6,22,NA,NA,NA,NA,"W","W",9,7,97,90,1027.3,1024.8,8,7,15.3,17.1,"Yes",4,"Yes",2008,6
"124",2008-06-03,"Sydney",15.2,19.1,4,NA,FALSE,NA,NA,"W","E",17,22,98,90,1026.4,1024.1,8,8,15.6,16.7,"Yes",9.2,"Yes",2008,6
"125",2008-06-04,"Sydney",15.5,18.3,9.2,NA,FALSE,NA,NA,"SE","ESE",19,26,87,88,1023.1,1020.5,8,8,17.5,17.2,"Yes",46.4,"Yes",2008,6
"126",2008-06-05,"Sydney",15.2,16.9,46.4,NA,FALSE,NA,NA,"SSW","S",24,24,82,84,1020.1,1018.6,7,8,16,16.6,"Yes",12.4,"Yes",2008,6
"127",2008-06-06,"Sydney",14.7,17.4,12.4,NA,NA,NA,NA,"WSW","SSW",15,24,81,70,1021.2,1020.3,7,6,15.1,16.6,"Yes",0,"No",2008,6
"128",2008-06-07,"Sydney",11.7,18.2,0,NA,NA,NA,NA,"W","S",19,24,76,49,1025,1025.7,1,1,13.3,17.9,"No",6,"Yes",2008,6
"129",2008-06-08,"Sydney",12.7,17.7,6,NA,NA,NA,NA,"WNW","ESE",17,17,97,71,1032.1,1029.8,8,7,14.1,17.2,"Yes",3.6,"Yes",2008,6
"130",2008-06-09,"Sydney",13,16.9,3.6,NA,NA,NA,NA,"W","ESE",13,2,96,89,1030.9,1028,7,8,13.9,16.2,"Yes",1.6,"Yes",2008,6
"131",2008-06-10,"Sydney",12.4,19.9,1.6,NA,NA,NA,NA,"W","N",13,9,98,68,1027.5,1023.9,7,1,13.2,19.1,"Yes",0,"No",2008,6
"132",2008-06-11,"Sydney",13.2,19.9,0,NA,FALSE,NA,NA,"NNW","N",6,4,74,70,1022.9,1020.6,7,8,17.3,19.6,"No",5.4,"Yes",2008,6
"133",2008-06-12,"Sydney",13.7,22.1,5.4,NA,NA,NA,NA,"W","ENE",11,7,97,64,1022.4,1018.1,8,1,14.1,20.1,"Yes",0,"No",2008,6
"134",2008-06-13,"Sydney",14,18.8,0,NA,NA,NA,NA,"NW","WSW",20,26,67,42,1012.2,1011.5,1,2,16.6,16.7,"No",0,"No",2008,6
"135",2008-06-14,"Sydney",9.6,14.6,0,NA,NA,NA,NA,"W","SW",30,24,49,52,1022,1022.5,5,7,11.2,14.1,"No",0,"No",2008,6
"136",2008-06-15,"Sydney",10.6,15.3,0,NA,NA,NA,NA,"SSW","SSW",24,26,75,87,1024.4,1022.8,7,8,13.7,14.5,"No",7.2,"Yes",2008,6
"137",2008-06-16,"Sydney",13.3,16.8,7.2,NA,NA,NA,NA,"SSW","SSW",19,20,86,83,1024.2,1023,6,7,15,15.8,"Yes",3.4,"Yes",2008,6
"138",2008-06-17,"Sydney",13.1,17.5,3.4,NA,NA,NA,NA,"W","SSW",11,13,88,73,1026.7,1024.8,7,7,14.2,17.3,"Yes",0,"No",2008,6
"139",2008-06-18,"Sydney",13.6,19.4,0,NA,NA,NA,NA,"W","NE",13,2,90,69,1025.5,1022.1,7,8,14.8,19.2,"No",0,"No",2008,6
"140",2008-06-19,"Sydney",12.8,20.3,0,NA,NA,NA,NA,"WNW","ESE",13,13,91,69,1020.3,1017.4,6,7,13.9,18.6,"No",3.6,"Yes",2008,6
"141",2008-06-20,"Sydney",13.8,17.9,3.6,NA,NA,NA,NA,"W","W",19,19,81,60,1018.3,1016.2,7,7,14.3,17.2,"Yes",2.2,"Yes",2008,6
"142",2008-06-21,"Sydney",11.6,18.5,2.2,NA,NA,NA,NA,"W","WSW",15,17,66,40,1020.7,1018.9,1,1,13.2,18,"Yes",0,"No",2008,6
"143",2008-06-22,"Sydney",9.7,17.3,0,NA,NA,NA,NA,"W","SSW",22,22,61,54,1023.2,1024,1,3,11.4,16.3,"No",0,"No",2008,6
"144",2008-06-23,"Sydney",8.2,17.1,0,NA,NA,NA,NA,"WNW","WSW",13,13,74,43,1023.7,1020.4,1,7,9.9,17,"No",0,"No",2008,6
"145",2008-06-24,"Sydney",9.2,19.2,0,NA,NA,NA,NA,"W","WNW",19,9,72,45,1027,1023.1,1,1,10.7,18.8,"No",0,"No",2008,6
"146",2008-06-25,"Sydney",9.9,19.6,0,NA,NA,NA,NA,"W","WNW",17,6,69,43,1024.6,1020.6,1,0,11.8,19.4,"No",0,"No",2008,6
"147",2008-06-26,"Sydney",10.2,20.2,0,NA,NA,NA,NA,"WNW","W",28,28,47,38,1017,1016.8,0,1,14.6,19.3,"No",0,"No",2008,6
"148",2008-06-27,"Sydney",9.5,19.4,0,NA,NA,NA,NA,"W","WSW",24,15,57,32,1025.9,1023.6,0,0,10.8,18.9,"No",0,"No",2008,6
"149",2008-06-28,"Sydney",7.9,18.7,0,NA,NA,NA,NA,"W","SSE",20,9,68,43,1027.6,1024.7,1,1,10.1,18.1,"No",0,"No",2008,6
"150",2008-06-29,"Sydney",7.9,21,0,NA,NA,NA,NA,"WNW","NNW",13,6,84,42,1024.1,1018.8,2,1,9.2,20.8,"No",0,"No",2008,6
"151",2008-06-30,"Sydney",9.2,22.1,0,NA,NA,NA,NA,"NNW","NW",19,28,47,35,1017.1,1010.3,1,1,13.8,21.6,"No",0.2,"No",2008,6
"152",2008-07-01,"Sydney",10.3,19.6,0.2,NA,NA,NA,NA,NA,"W",0,41,45,34,1011,1008.5,0,1,13.1,19.2,"No",0,"No",2008,7
